Name	Coefficient	Coefficient_std_error	Coefficient_P_value
cell_body_glial_cell	6.535128860995462e-06	5.650142928995288e-06	0.12371163369159216
distal_medullary_amacrine_neuron_Dm3	5.880695722547365e-06	5.151531276828761e-06	0.12682196366975657
olfactory_receptor_neuron	5.9793488809393375e-06	5.424087978286112e-06	0.13515054371827584
adult_Malpighian_tubule_principal_cell_of_lower_ureter	6.316976419445904e-06	5.736615450865648e-06	0.13541180882946824
medullary_intrinsic_neuron_Mi4	6.242454172736949e-06	6.0663215865718065e-06	0.15173173269253915
adult_optic_chiasma_glial_cell	5.3181892946706355e-06	5.2853684219304826e-06	0.15715733895477213
skeletal_muscle_of_head	4.90085482797022e-06	4.903051241001637e-06	0.15876367349854575
anterior_ejaculatory_duct	6.477557667638662e-06	6.495988691567239e-06	0.1593427697588375
lamina_monopolar_neuron_L5	5.596408356397124e-06	5.801218227953673e-06	0.16734870785379674
neuron_10	5.786711648689272e-06	6.132544688448586e-06	0.1726852755454102
lamina_monopolar_neuron_L2	5.652299114662846e-06	6.288340104388003e-06	0.1843652392225617
adult_Malpighian_tubule_principal_cell_of_lower_segment	4.747755631312504e-06	5.735777539437902e-06	0.20390773823722796
transmedullary_Y_neuron_TmY14	4.436208189238451e-06	5.384696012512555e-06	0.20501100475593653
T_neuron_T4_T5	4.737166679249725e-06	5.8492426464118085e-06	0.2090054560287628
lobula_columnar_neuron_LC12	4.8427495112829945e-06	6.004012627651474e-06	0.2099526659830812
adult_ventral_nervous_system	3.992830770336836e-06	5.026172185567056e-06	0.21347901028326804
neuron_17	4.189454086326745e-06	5.4217156750365955e-06	0.2198448208278918
gustatory_receptor_neuron	4.076557695632634e-06	5.355577840099694e-06	0.223274839418019
adult_peripheral_nervous_system	4.11481090702009e-06	5.476726597932606e-06	0.22622803296490163
proximal_medullary_amacrine_neuron_Pm4	3.5770131575928926e-06	5.137785543759062e-06	0.243146500723733
spermatocyte	3.962791331494346e-06	6.043390489096913e-06	0.25600112036859235
multidendritic_neuron	3.4774610238907855e-06	5.540126042137535e-06	0.2651047423228272
indirect_flight_muscle	3.7823644638405654e-06	6.042443815256635e-06	0.26566861701350736
cardiomyocyte__working_adult_heart_muscle__non-ostia	2.875042027676273e-06	4.989967160399611e-06	0.2822519925991046
germline_cell	6.642782890367325e-06	1.1774558391316542e-05	0.2863212358590262
unannotated	2.580826822291566e-06	5.05494790306823e-06	0.3048314922106085
neuron_4	3.070975491627955e-06	6.037749031664699e-06	0.3055060768930047
pheromone-sensing_neuron	2.865327807593895e-06	5.67364754091695e-06	0.3067710124596289
T_neuron_T2	2.6894087536419298e-06	5.4889475953281076e-06	0.3120782664577382
posterior_midgut	2.525822834148652e-06	5.387585925123925e-06	0.319598169569602
transmedullary_neuron_Tm4	2.6016011588744865e-06	5.896473624516966e-06	0.32952938039141416
auditory_sensory_neuron	2.210730138115238e-06	5.021743364276943e-06	0.3298846859044023
centrifugal_neuron_C2	2.3674393625223756e-06	5.661433915049405e-06	0.3379115727985827
T_neuron_T4_T5c-d	2.1212079437585326e-06	5.151134711401092e-06	0.34024509759413984
ensheathing_glial_cell	2.2835293449391693e-06	5.7700520659819375e-06	0.3461427356626662
neuron_6	2.2852870812385948e-06	6.288266571447969e-06	0.3581452704706959
lobula_columnar_neuron_LC10	1.8864309972228348e-06	5.725202863710183e-06	0.3708904378346063
adult_reticular_neuropil_associated_glial_cell_head	1.6379696107820423e-06	5.3721178832107735e-06	0.38022038744791886
neuron_2	1.5742062614818148e-06	5.254138387708684e-06	0.3822363216313851
16-cell_germline_cyst_in_germarium_region_2a_and_2b	1.7541099027891262e-06	6.062131151829223e-06	0.38615474111169557
distal_medullary_amacrine_neuron_Dm9	1.50502893803797e-06	5.408486237084651e-06	0.3904018795554367
neuron_5	1.3704762744775849e-06	5.366604961252867e-06	0.39921821164557963
lamina_intrinsic_amacrine_neuron_Lai	1.3639207932272879e-06	5.373283052494581e-06	0.39981198439042176
transmedullary_Y_neuron_TmY8	1.278218747197033e-06	5.499202838104876e-06	0.4080992690137697
visceral_muscle_of_the_crop	1.2238811156368545e-06	5.291562339368155e-06	0.4085450758751282
Johnston_organ_neuron	1.0766947488251378e-06	5.212773889109744e-06	0.4181809331891541
lamina_wide-field_2_neuron	1.055771844989096e-06	5.509872674856784e-06	0.4240220671205209
transmedullary_Y_neuron_TmY4	9.433440845724592e-07	5.252476625801251e-06	0.42873335595940987
photoreceptor_cell_R7	8.3545762440169e-07	5.471767480723767e-06	0.439323287034071
ejaculatory_bulb_epithelium	7.770738522687821e-07	5.711306868350813e-06	0.4458873784062962
T_neuron_T3	6.906005531758622e-07	5.536836653698893e-06	0.45036930250265955
scolopidial_neuron	6.186439774875097e-07	5.364355214991787e-06	0.4540937829665994
transmedullary_neuron_Tm5c	6.197806944151388e-07	5.511970771655981e-06	0.4552362131888905
photoreceptor_cell_R8	6.564369096050831e-07	6.086325499628419e-06	0.4570555996946498
outer_photoreceptor_cell	5.493859836592531e-07	5.755018490754421e-06	0.4619739078029939
transmedullary_neuron_Tm9	3.638478512683699e-07	5.548130987648971e-06	0.47385600429332786
adult_alary_muscle	3.5500651261479245e-07	6.011078360209056e-06	0.4764526743207689
transmedullary_neuron_Tm20	3.121537428331779e-07	5.549838875740282e-06	0.4775730972542828
lamina_monopolar_neuron_L4	3.894083550177366e-08	6.2845489738770546e-06	0.4975280570854318
lobula_columnar_neuron_LC17	1.0026426480315977e-08	5.628173214918865e-06	0.49928929633544467
transmedullary_neuron_Tm2	-7.493834018916462e-08	5.745297559052637e-06	0.5052034249456231
neuron_15	-2.2905342871545702e-07	5.6290906688596136e-06	0.5162288887960625
columnar_neuron_T1	-3.175864493485147e-07	5.633811916618995e-06	0.5224770712035484
antennal_lobe_projection_neuron	-3.13785946616786e-07	5.520645066160756e-06	0.5226631325125588
dopaminergic_PAM_neuron	-3.792027590057595e-07	5.194667190148633e-06	0.5290963326369457
centrifugal_neuron_C3	-6.207775028037127e-07	5.529495118865668e-06	0.5446939799905597
neuron_13	-7.136305480617178e-07	5.162807548826717e-06	0.5549688140651776
lamina_wide-field_1_neuron	-7.422827961700996e-07	5.369188950221836e-06	0.5549780223424057
distal_medullary_amacrine_neuron_Dm12	-8.362341933791307e-07	5.377834780571111e-06	0.5617850220675693
neuron_7	-9.04709479086715e-07	5.5495223956918455e-06	0.5647505245978728
neuron_1	-1.0082656786836597e-06	5.905023081951213e-06	0.5677886943763522
ocellus_retinula_cell	-9.55274808232835e-07	5.267873515070581e-06	0.5719495420698284
neuron_12	-1.0600228011786033e-06	5.187466771610122e-06	0.5809572861543797
transmedullary_neuron_Tm1	-1.1543288895281132e-06	5.570529151301165e-06	0.5820812448066435
neuron_9	-1.2029144364034632e-06	5.622527562013028e-06	0.5847052187656385
transmedullary_neuron_Tm3a	-1.6105161823789982e-06	5.88693936792996e-06	0.6077941633136714
lamina_monopolar_neuron_L3	-1.7914916131355207e-06	6.059309062933952e-06	0.6162548927866697
transmedullary_Y_neuron_TmY5a	-1.933663367044359e-06	5.783420151970675e-06	0.6309407569078813
lamina_monopolar_neuron_L1	-2.394013315127642e-06	5.993218731933874e-06	0.6552205286041553
T_neuron_T2a	-2.359747849003304e-06	5.8029138489153176e-06	0.6578670184168839
neuron_11	-2.7569463563017354e-06	5.56891002425822e-06	0.6897212274829354
leg_muscle_motor_neuron	-2.7201827000445363e-06	5.267037826200176e-06	0.697231317036487
neuron_16	-3.5305863408320368e-06	5.54809399160865e-06	0.7377291702998021
gamma_Kenyon_cell	-3.595290965017317e-06	5.342715311174779e-06	0.7495051322997291
Kenyon_cell	-3.918459113149022e-06	5.661346220187065e-06	0.7555761215720924
neuron_3	-4.934560419774791e-06	5.542635410541407e-06	0.8133452704999099
neuron_8	-5.0622150347477875e-06	5.662339558218042e-06	0.814342997979407
octopaminergic_tyraminergic_neuron	-4.8894066894703305e-06	5.461359707616782e-06	0.8146793563639344
medullary_intrinsic_neuron_Mi1	-5.582290782198468e-06	5.917989649386697e-06	0.8272298310246214
muscle_cell	-5.346665502898557e-06	5.2662595509656505e-06	0.8450109847866909
alpha_beta_Kenyon_cell	-8.731080634081348e-06	6.155894426733013e-06	0.9219525631410146
medullary_intrinsic_neuron_Mi15	-7.942544996336595e-06	5.539202079178845e-06	0.9241965882458213
alpha__beta__Kenyon_cell	-1.0112648941138867e-05	5.945530862302027e-06	0.9555174661148811
