Name	Coefficient	Coefficient_std_error	Coefficient_P_value	q_value	sig_bonferroni	sig_fdr05
eo_support_cell	1.150389829018588e-05	5.806561186132436e-06	0.0237850108585026	0.12115489906049763	False	False
adult_glial_cell	1.1738147648587872e-05	6.039108365213965e-06	0.0259664914543919	0.12184972334340587	False	False
adult_midgut_enterocyte	1.081651868663431e-05	5.568979337611052e-06	0.0260515901473095	0.12184972334340587	False	False
adult_oenocyte	1.3720149404442335e-05	7.070694207573852e-06	0.0261640510246577	0.12184972334340587	False	False
medullary_intrinsic_neuron_Mi9	1.0108076546588557e-05	5.402460565533213e-06	0.0306716062665686	0.13734446468471376	False	False
follicle_cell	1.1779837301576055e-05	6.320403498766486e-06	0.0311763508793522	0.13734446468471376	False	False
cone_cell	9.6815814273774e-06	5.292858459345283e-06	0.0336864568847839	0.1440412499276845	False	False
copper_cell	1.0230648594434674e-05	5.665494603165658e-06	0.0354761933059374	0.1440412499276845	False	False
crop	1.0938457327011258e-05	6.064868585029937e-06	0.0356488242754393	0.1440412499276845	False	False
adult_brain_cell_body_glial_cell	1.0019315826038296e-05	5.578057685260922e-06	0.0362312346443869	0.1440412499276845	False	False
principal_cell	9.923196902175576e-06	5.66858913319205e-06	0.0400109943405687	0.1516931254070996	False	False
adult_midgut-hindgut_hybrid_zone	8.602782793510584e-06	4.925513084739602e-06	0.0403554592606962	0.1516931254070996	False	False
enterocyte-like	1.069570889329795e-05	6.161578694206959e-06	0.0412932784306273	0.1516931254070996	False	False
pigment_cell	9.235342436720136e-06	5.340535435415567e-06	0.041878470204414	0.1516931254070996	False	False
ejaculatory_bulb	1.072765909444402e-05	6.262122103160786e-06	0.0433468117817418	0.15359848522660682	False	False
T_neuron_T4_T5a-b	8.15926430249608e-06	4.906203915855441e-06	0.0481511752892922	0.16111922085712677	False	False
mechanosensory_neuron_of_haltere	8.637579934639782e-06	5.2079598356971615e-06	0.0486048368149205	0.16111922085712677	False	False
Poxn_neuron	7.830709407676824e-06	4.762020252991857e-06	0.0500458640014451	0.16111922085712677	False	False
distal_medullary_amacrine_neuron_Dm10	8.469280818256748e-06	5.1592799973696215e-06	0.0503403473002688	0.16111922085712677	False	False
adult_lamina_epithelial_marginal_glial_cell	8.320527573367642e-06	5.070782584469035e-06	0.0504115353602053	0.16111922085712677	False	False
male_accessory_gland_secondary_cell	9.791051955416137e-06	6.013536526088006e-06	0.0517445596916711	0.16219929287966134	False	False
adult_Malpighian_tubule_principal_cell	9.079650329051704e-06	5.7456770647958295e-06	0.057023933236175	0.1753754927829533	False	False
transmedullary_neuron_Tm29	9.083622554496249e-06	5.813287390885599e-06	0.0590778142807868	0.17832747644015276	False	False
subperineurial_glial_cell_head	9.925003977891622e-06	6.416966402871289e-06	0.060970018909558	0.1806929651319628	False	False
distal_medullary_amacrine_neuron_Dm8	7.327379351361296e-06	4.868376921345828e-06	0.0661495740023532	0.19254251004256379	False	False
adult_differentiating_enterocyte	8.915520029877369e-06	6.070848784736286e-06	0.0709735296339196	0.20295939176015607	False	False
enterocyte_of_anterior_adult_midgut_epithelium	8.018754661960473e-06	5.643224690557248e-06	0.0776652733639781	0.2182661992815247	False	False
neuron_14	7.954639201385343e-06	5.6592092978235686e-06	0.0799200344470468	0.22079602737065473	False	False
adult_Malpighian_tubule_principal_cell_of_initial_segment	7.550654257683334e-06	5.672702156181966e-06	0.091586162176527	0.2461487324104192	False	False
adult_heart_ventral_longitudinal_muscle	7.478172894895336e-06	5.631871985400151e-06	0.0921170102885618	0.2461487324104192	False	False
subperineurial_glial_cell_body	7.856415727309928e-06	6.013244431241786e-06	0.0956881280919524	0.2515671754675523	False	False
enterocyte_of_posterior_adult_midgut_epithelium	6.510230440054557e-06	5.06435122578314e-06	0.0993085691127826	0.2569412184981518	False	False
prefollicle_cell_stalk_follicle_cell	6.842985652383575e-06	5.387847633281391e-06	0.1020284598237371	0.25985373361358044	False	False
cardia__2	6.993450659370542e-06	5.5627879375944885e-06	0.1043434209674104	0.2600600837860898	False	False
intestinal_stem_cell	6.948065154041768e-06	5.549949182980637e-06	0.1053004020238155	0.2600600837860898	False	False
visceral_muscle_of_the_midgut	6.342585017473608e-06	5.149201932233983e-06	0.1090192279088224	0.265225882822956	False	False
adult_Malpighian_tubule_stellate_cell_of_main_segment	6.2865656499725246e-06	5.187805969681642e-06	0.1127951245353209	0.2703765485184898	False	False
adult_reticular_neuropil_associated_glial_cell_body	6.726722295947452e-06	5.726178371082646e-06	0.1200510698098156	0.28082388909606093	False	False
cardia__1	6.351057150705382e-06	5.419006591956648e-06	0.1205992161762225	0.28082388909606093	False	False
cell_body_glial_cell	6.535128860995462e-06	5.650142928995288e-06	0.1237116336915921	0.28401403227788047	False	False
distal_medullary_amacrine_neuron_Dm3	5.880695722547365e-06	5.151531276828761e-06	0.1268219636697565	0.28711083441903207	False	False
olfactory_receptor_neuron	5.9793488809393375e-06	5.424087978286112e-06	0.1351505437182758	0.29827195728653133	False	False
adult_Malpighian_tubule_principal_cell_of_lower_ureter	6.316976419445904e-06	5.736615450865648e-06	0.1354118088294682	0.29827195728653133	False	False
medullary_intrinsic_neuron_Mi4	6.242454172736949e-06	6.066321586571807e-06	0.1517317326925391	0.3297636323851183	False	False
adult_optic_chiasma_glial_cell	5.318189294670636e-06	5.2853684219304826e-06	0.1571573389547721	0.33298553167551936	False	False
skeletal_muscle_of_head	4.90085482797022e-06	4.903051241001637e-06	0.1587636734985457	0.33298553167551936	False	False
anterior_ejaculatory_duct	6.477557667638662e-06	6.495988691567239e-06	0.1593427697588375	0.33298553167551936	False	False
lamina_monopolar_neuron_L5	5.596408356397124e-06	5.801218227953673e-06	0.1673487078537967	0.3452891060780869	False	False
neuron_10	5.786711648689272e-06	6.132544688448586e-06	0.1726852755454102	0.35184624892377325	False	False
lamina_monopolar_neuron_L2	5.652299114662846e-06	6.288340104388003e-06	0.1843652392225617	0.3710065925095995	False	False
adult_Malpighian_tubule_principal_cell_of_lower_segment	4.747755631312504e-06	5.735777539437902e-06	0.2039077382372279	0.4026119731953934	False	False
transmedullary_Y_neuron_TmY14	4.436208189238451e-06	5.384696012512555e-06	0.2050110047559365	0.4026119731953934	False	False
T_neuron_T4_T5	4.737166679249725e-06	5.8492426464118085e-06	0.2090054560287628	0.40261511241461456	False	False
lobula_columnar_neuron_LC12	4.8427495112829945e-06	6.004012627651474e-06	0.2099526659830812	0.40261511241461456	False	False
adult_ventral_nervous_system	3.992830770336836e-06	5.026172185567056e-06	0.213479010283268	0.40461719390898465	False	False
neuron_17	4.189454086326745e-06	5.421715675036596e-06	0.2198448208278918	0.4118931700568548	False	False
gustatory_receptor_neuron	4.076557695632634e-06	5.355577840099694e-06	0.223274839418019	0.41356589574019426	False	False
adult_peripheral_nervous_system	4.11481090702009e-06	5.476726597932606e-06	0.2262280329649016	0.4143277457671793	False	False
proximal_medullary_amacrine_neuron_Pm4	3.577013157592893e-06	5.137785543759062e-06	0.243146500723733	0.44036532908853865	False	False
spermatocyte	3.962791331494346e-06	6.043390489096913e-06	0.2560011203685923	0.4585514573635225	False	False
multidendritic_neuron	3.477461023890785e-06	5.540126042137535e-06	0.2651047423228272	0.4656342427225988	False	False
indirect_flight_muscle	3.782364463840565e-06	6.042443815256635e-06	0.2656686170135073	0.4656342427225988	False	False
cardiomyocyte__working_adult_heart_muscle__non-ostia	2.875042027676273e-06	4.989967160399611e-06	0.2822519925991046	0.4894369658899367	False	False
germline_cell	6.642782890367325e-06	1.1774558391316542e-05	0.2863212358590262	0.4912669625791713	False	False
unannotated	2.580826822291566e-06	5.05494790306823e-06	0.3048314922106085	0.5102415819481583	False	False
neuron_4	3.070975491627955e-06	6.037749031664699e-06	0.3055060768930047	0.5102415819481583	False	False
pheromone-sensing_neuron	2.865327807593895e-06	5.67364754091695e-06	0.3067710124596289	0.5102415819481583	False	False
T_neuron_T2	2.6894087536419298e-06	5.488947595328108e-06	0.3120782664577382	0.5138258326526396	False	False
posterior_midgut	2.525822834148652e-06	5.387585925123925e-06	0.319598169569602	0.5209450163984513	False	False
transmedullary_neuron_Tm4	2.6016011588744865e-06	5.896473624516966e-06	0.3295293803914141	0.527168664729584	False	False
auditory_sensory_neuron	2.210730138115238e-06	5.021743364276943e-06	0.3298846859044023	0.527168664729584	False	False
centrifugal_neuron_C2	2.367439362522376e-06	5.661433915049405e-06	0.3379115727985827	0.5332687587292768	False	False
T_neuron_T4_T5c-d	2.1212079437585326e-06	5.151134711401092e-06	0.3402450975941398	0.5332687587292768	False	False
ensheathing_glial_cell	2.2835293449391693e-06	5.7700520659819375e-06	0.3461427356626662	0.537345389647758	False	False
neuron_6	2.2852870812385948e-06	6.288266571447969e-06	0.3581452704706959	0.5507328215728625	False	False
lobula_columnar_neuron_LC10	1.8864309972228348e-06	5.725202863710183e-06	0.3708904378346063	0.5650013211872974	False	False
adult_reticular_neuropil_associated_glial_cell_head	1.6379696107820423e-06	5.3721178832107735e-06	0.3802203874479188	0.5716011048249153	False	False
neuron_2	1.5742062614818148e-06	5.254138387708684e-06	0.3822363216313851	0.5716011048249153	False	False
16-cell_germline_cyst_in_germarium_region_2a_and_2b	1.7541099027891262e-06	6.062131151829223e-06	0.3861547411116955	0.5722111163746033	False	False
distal_medullary_amacrine_neuron_Dm9	1.50502893803797e-06	5.408486237084651e-06	0.3904018795554367	0.5732928501579836	False	False
neuron_5	1.3704762744775849e-06	5.366604961252867e-06	0.3992182116455796	0.5767199420852986	False	False
lamina_intrinsic_amacrine_neuron_Lai	1.363920793227288e-06	5.373283052494581e-06	0.3998119843904217	0.5767199420852986	False	False
transmedullary_Y_neuron_TmY8	1.278218747197033e-06	5.499202838104876e-06	0.4080992690137697	0.5790682379795296	False	False
visceral_muscle_of_the_crop	1.2238811156368545e-06	5.291562339368155e-06	0.4085450758751282	0.5790682379795296	False	False
Johnston_organ_neuron	1.0766947488251378e-06	5.212773889109744e-06	0.4181809331891541	0.5876163112916563	False	False
lamina_wide-field_2_neuron	1.055771844989096e-06	5.509872674856784e-06	0.4240220671205209	0.5907315977832898	False	False
transmedullary_Y_neuron_TmY4	9.433440845724592e-07	5.252476625801251e-06	0.4287333559594098	0.5922333645879984	False	False
